angle_deg,model,n_b,G_T_linear,p_rf_W,at_cap,acm_mode,bits_per_beam_step_bit,bits_per_user_step_bit,energy_per_step_J,ee_bit_per_J
0.019366667,a-r0,1,1999.817482791,0.317666535255,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.829492115,16148659.723879
0.019366667,a-r0,2,1999.817482791,0.509297408369,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.282832734,21102688.333840
0.019366667,a-r0,4,1999.817482791,1.380293574305,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.824560667,25177120.249474
0.019366667,b0,1,1999.817482791,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.022133333,a-r0,1,1999.761613194,0.317675410264,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.831037731,16148462.929488
0.022133333,a-r0,2,1999.761613194,0.509311637185,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.284789783,21102424.079061
0.022133333,a-r0,4,1999.761613194,1.380332137124,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.827782491,25176791.614492
0.022133333,b0,1,1999.761613194,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.024900000,a-r0,1,1999.698296027,0.317685468935,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.832789461,16148239.897696
0.024900000,a-r0,2,1999.698296027,0.509327763703,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.287007812,21102124.593013
0.024900000,a-r0,4,1999.698296027,1.380375843078,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.831433956,25176419.165293
0.024900000,b0,1,1999.698296027,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.027666667,a-r0,1,1999.627531931,0.317696711391,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.834747316,16147990.629199
0.027666667,a-r0,2,1999.627531931,0.509345788119,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.289486834,21101789.876707
0.027666667,a-r0,4,1999.627531931,1.380424692700,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.835515086,25176002.903294
0.027666667,b0,1,1999.627531931,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.030433333,a-r0,1,1999.549321623,0.317709137770,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.836911308,16147715.124771
0.030433333,a-r0,2,1999.549321623,0.509365710654,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.292226867,21101419.931276
0.030433333,a-r0,4,1999.549321623,1.380478686587,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.840025909,25175542.830079
0.030433333,b0,1,1999.549321623,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.033200000,a-r0,1,1999.463665894,0.317722748224,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.839281453,16147413.385270
0.033200000,a-r0,2,1999.463665894,0.509387531551,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.295227928,21101014.757972
0.033200000,a-r0,4,1999.463665894,1.380537825400,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.844966454,25175038.947401
0.033200000,b0,1,1999.463665894,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.035966667,a-r0,1,1999.370565613,0.317737542918,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.841857766,16147085.411636
0.035966667,a-r0,2,1999.370565613,0.509411251077,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.298490038,21100574.358163
0.035966667,a-r0,4,1999.370565613,1.380602109861,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.850336754,25174491.257176
0.035966667,b0,1,1999.370565613,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.038733333,a-r0,1,1999.270021721,0.317753522035,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.844640263,16146731.204890
0.038733333,a-r0,2,1999.270021721,0.509436869523,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.302013218,21100098.733341
0.038733333,a-r0,4,1999.270021721,1.380671540757,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.856136845,25173899.761490
0.038733333,b0,1,1999.270021721,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.041500000,a-r0,1,1999.162035238,0.317770685769,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.847628964,16146350.766134
0.041500000,a-r0,2,1999.162035238,0.509464387200,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.305797491,21099587.885112
0.041500000,a-r0,4,1999.162035238,1.380746118936,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.862366765,25173264.462594
0.041500000,b0,1,1999.162035238,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.044266667,a-r0,1,1999.046607255,0.317789034331,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.850823889,16145944.096553
