arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082916,140,10,300.8,9545802412202.84,146664.18809460587,65086116.36022089,487.5804125485567,31734715466.099865,1399,1400,0.9992857142857143,0,0,633645027.8068551,-356.5,-3303.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082917,140,10,300.8,9129140316084.605,156584.27211421606,58301770.623716325,520.5594152733246,30349535625.281265,1397,1400,0.9978571428571429,0,0,570919210.6676087,-309.5,-3083.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082918,140,10,300.8,11333643428478.092,165203.63788002514,68604079.02584359,549.2142216756155,37678335865.9511,1399,1400,0.9992857142857143,0,0,670284994.2806494,-324.0,-2965.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082914,60,10,300.8,5186330215792.475,66332.3009107937,78187099.56657854,220.51961738960668,17241789281.224983,600,600,1.0,0,0,747805553.1749561,-132.5,-1368.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082915,60,10,300.8,4547968884449.816,65525.73215801762,69407372.25922525,217.83820531255859,15119577408.410294,596,600,0.9933333333333333,0,0,647986245.480666,-150.0,-1320.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082916,60,10,300.8,5292479685485.778,72327.30576467676,73174019.54256842,240.44981969639878,17594679805.471336,600,600,1.0,0,0,715576696.8662245,-161.0,-1188.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082917,60,10,300.8,5674568939904.789,79212.49335947556,71637297.34087439,263.33940611527777,18864923337.449432,600,600,1.0,0,0,693805144.5114591,-155.0,-1042.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082918,60,10,300.8,7075308939130.3125,83002.60318602073,85242012.5098189,275.93950527267526,23521638760.406624,599,600,0.9983333333333333,0,0,839852580.9053884,-153.5,-997.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082914,80,10,300.8,5979676581597.49,82404.01181932061,72565357.55453938,273.94950737806056,19879243954.77889,798,800,0.9975,0,0,697589273.7485149,-178.5,-1972.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082915,80,10,300.8,5337843549092.834,77914.01219240931,68509416.96996664,259.02264691625436,17745490522.25011,795,800,0.99375,0,0,638937439.793329,-195.5,-2025.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082916,80,10,300.8,5574504026347.428,80528.47744523112,69224008.73825969,267.7143532088801,18532260725.889053,800,800,1.0,0,0,666013592.3367436,-215.5,-1950.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082917,80,10,300.8,6212315820936.499,91356.00256834533,68001178.31654178,303.7101149213608,20652645681.30485,800,800,1.0,0,0,654949562.4053289,-201.0,-1736.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082918,80,10,300.8,8105810561197.966,102242.3001090012,79280401.09187984,339.90126366024333,26947508514.620895,797,800,0.99625,0,0,774517493.6232343,-218.0,-1521.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082914,100,10,300.8,6763128843707.268,95896.64232585329,70525189.20033094,318.8053268811612,22483805996.367245,996,1000,0.996,0,0,672276760.9929692,-217.5,-2674.0
Full - C3,d922b042c9443f2c1e7a60959698d9456f636f518a061b9f1a7233b8ffd48ada,2026082911,2026082915,100,10,300.8,5936043987785.639,94750.33649093639,62649318.2781833,314.99446971720874,19734188789.18098,992,1000,0.992,0,0,569942328.9444997,-251.5,-2806.0
