arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082908,120,10,300.8,9235418839394.045,116384.57686219546,79352600.56260885,386.9168113769796,30702855184.155735,1199,1200,0.9991666666666666,0,0,760370410.5146068,-357.0,-3339.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082904,140,10,300.8,9546302805607.234,119157.17132520583,80115218.40807465,396.1342131822002,31736379008.002773,1400,1400,1.0,0,0,777980796.992687,-399.0,-4752.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082905,140,10,300.8,9220583969640.783,117104.37242005055,78738169.88290387,389.3097487368702,30653537133.114304,1400,1400,1.0,0,0,751295675.5585101,-430.5,-4714.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082906,140,10,300.8,12348555037881.059,134965.7795073805,91493970.41941129,448.6894265537915,41052377120.61522,1397,1400,0.9978571428571429,0,0,888618384.8811895,-525.0,-3981.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082907,140,10,300.8,10535014746099.297,125025.7102427099,84262786.63522793,415.64398351964724,35023320299.532234,1398,1400,0.9985714285714286,0,0,791677825.191432,-458.0,-4362.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082908,140,10,300.8,9676404030010.291,122115.24734170627,79239933.10133918,405.96824249237454,32168896376.364,1399,1400,0.9992857142857143,0,0,763634341.3271005,-404.0,-4469.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082904,60,10,300.8,6466005275270.097,80088.87144391757,80735377.5711265,266.25289708749193,21496028175.76495,600,600,1.0,0,0,778403725.532406,-174.0,-1136.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082905,60,10,300.8,6384957116533.775,81727.79170735873,78124674.39957608,271.7014351973362,21226586158.68941,600,600,1.0,0,0,758813213.598794,-160.0,-1024.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082906,60,10,300.8,7684687816711.933,80330.40801723785,95663497.87570979,267.0558777168811,25547499390.66467,598,600,0.9966666666666667,0,0,927136570.3425477,-168.5,-1040.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082907,60,10,300.8,6462582126733.775,78151.77039059316,82692715.65358746,259.81306645808894,21484648027.705368,599,600,0.9983333333333333,0,0,805873101.3281091,-170.0,-1125.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082908,60,10,300.8,6459841812105.1455,78879.19278093101,81895384.37653494,262.2313589791589,21475537939.17934,600,600,1.0,0,0,788622885.183492,-152.0,-1118.0
